id,vendeur,client,age_client,produit,categorie,quantite,prix_paye
58,ALLAM Lamine,MEDANI Ayoub,29,P15,C16,71,1872814.5200958417
59,AIT-AISSA Salim,ARAD Omar,51,P16,C17,215,7771639.637252073
60,ALLAM Lamine,LAIHEM Mustapha,60,P29,C30,78,373620.92427491245
61,LAIHEM Said,MEDANI Ayoub,45,P4,C5,62,4940590.299635021
62,BADREDDINE Manel,MEDANI Ayoub,38,P16,C17,162,4347414.008479218
63,BADREDDINE Manel,GHAOUI Amine,41,P16,C17,330,5133069.671905647
64,TAIR Karim,ALLOUCHE Smail,30,P24,C25,334,138737.84713290964
65,ALLAM Lamine,AGHA Miloud,34,P15,C16,236,9242069.888237147
66,MOHAMMEDI Asma,TEZEROT Meriem,46,P25,C26,181,4115462.043829828
67,MOHAMMEDI Asma,ALLOUCHE Smail,50,P3,C4,310,4539281.542720451
68,AIT-AISSA Salim,LAIHEM Mustapha,60,P2,C3,236,3363707.617019719
69,TAIR Karim,MEDANI Ayoub,63,P26,C27,307,5488859.119187113
70,TAIR Karim,GHAOUI Amine,20,P28,C29,295,6610332.478179197
71,TOUATI Abderahmane,KAWMI Halima,32,P26,C27,220,5522181.432914554
72,AIT-AISSA Salim,TEZEROT Meriem,50,P3,C4,186,2539667.6834508954
73,BOUDJELOUAH Issam,GHAOUI Amine,21,P15,C16,184,5554980.150889686
74,MOHAMMEDI Asma,ARAD Omar,24,P14,C15,6,647735.5940054627
75,BOUDJELOUAH Issam,TILELI Selma,58,P29,C30,264,4696537.2239870215
76,ALLAM Lamine,GHAOUI Amine,22,P9,C10,90,9509237.245084802
77,AGOUILAL riadh,TEZEROT Meriem,57,P27,C28,226,553113.3073116175
78,ALLAM Lamine,GHAOUI Amine,41,P3,C4,142,2537614.3216561005
79,TAIR Karim,TILELI Selma,27,P24,C25,246,9940422.156115929
80,TOUATI Abderahmane,KAWMI Halima,42,P28,C29,150,8057353.407508784
81,BOUDJELOUAH Issam,TEZEROT Meriem,29,P26,C27,223,8839067.656309623
82,LAIHEM Said,MEDANI Ayoub,61,P29,C30,40,739005.6632241852
83,AGOUILAL riadh,AGHA Miloud,31,P5,C6,132,9126196.51865462
84,MOHAMMEDI Asma,TILELI Selma,23,P1,C2,80,4623771.306780395
85,MOHAMMEDI Asma,TEZEROT Meriem,65,P16,C17,262,9919382.421118805
86,AGOUILAL riadh,ALLOUCHE Smail,60,P4,C5,362,5852848.887570405
87,BOUDJELOUAH Issam,MEDANI Ayoub,65,P3,C4,112,1317188.1739352695
88,TOUATI Abderahmane,LAIHEM Mustapha,28,P18,C19,130,9952646.228456372
89,LAIHEM Said,TILELI Selma,59,P3,C4,165,5417009.683131677
90,ALLAM Lamine,TILELI Selma,57,P0,C1,325,6938529.922614495
91,AGOUILAL riadh,AGHA Miloud,33,P29,C30,70,5821455.542037014
92,MOHAMMEDI Asma,MEDANI Ayoub,25,P22,C23,94,7943394.982381037
93,AIT-AISSA Salim,GHAOUI Amine,22,P14,C15,220,9151867.664208222
94,TOUATI Abderahmane,MEDANI Ayoub,25,P16,C17,243,9910910.092032788
95,AIT-AISSA Salim,ALLOUCHE Smail,39,P10,C11,329,1792770.9802287705
96,BADREDDINE Manel,TILELI Selma,57,P1,C2,209,9242195.494691862
97,LAIHEM Said,ARAD Omar,50,P23,C24,36,6521257.606917473
98,AIT-AISSA Salim,ARAD Omar,65,P9,C10,141,1134800.7538573232
99,LAIHEM Said,GHAOUI Amine,29,P14,C15,187,1672630.4561672765
0,LAIHEM Said,ZIVZLJRP LBQEPSYZJ,34,P70,C71,236,1289110.7228383026
1,TAIR Karim,ZFJNXVAU CSMZUTI,65,P60,C61,63,6122072.6453695195
2,TAIR Karim,CCDWZDNEN RZGUPXQK,32,P35,C36,312,8055044.135652285
3,LAIHEM Said,UVBCTI GCFQW,64,P48,C49,182,5998455.903267549
4,ALLAM Lamine,UDWDBWMPV JKCYB,52,P49,C50,129,3090422.3246046216
5,LAIHEM Said,ENIFEEOG GZHDADFTG,65,P80,C81,282,8210567.372253795
6,TAIR Karim,GBECSFDW MWGWDIIO,24,P19,C20,231,1150187.8093689235
7,BADREDDINE Manel,YMCNLA NLYKILR,58,P78,C79,46,9655309.869781828
8,TAIR Karim,PQPEL KKSFAPH,22,P68,C69,164,7983179.461450172
9,AGOUILAL riadh,MTFFMZNVM UCVUTN,23,P18,C19,139,7988815.56190872
10,TOUATI Abderahmane,YCXLKBFGK RGORWFO,23,P44,C45,47,6910739.298360898
11,MOHAMMEDI Asma,LGZFJZ KLPEBJP,28,P28,C29,199,7337081.79776485
12,LAIHEM Said,GGIKYV XNVBTB,46,P0,C1,86,8113245.900322551
13,TOUATI Abderahmane,ALHBVUEN EKSNXYE,36,P42,C43,345,1031061.1066729747
14,MOHAMMEDI Asma,RJYYPNL LMAGCW,62,P16,C17,384,1057449.7023341379
15,LAIHEM Said,PIZBHOZP GZVME,55,P22,C23,252,2410791.0345316743
16,AGOUILAL riadh,TSQXFOJJM MMPVGRSB,52,P12,C13,350,9551670.55308928
17,BOUDJELOUAH Issam,IWUPFOMUX FHIJCPLOS,56,P83,C84,306,8436725.087419149
18,LAIHEM Said,LBSFMZBN WLIVRIF,25,P80,C81,334,5291358.609761872
19,LAIHEM Said,QUBQMX LDXKNPBI,65,P51,C52,243,888837.249470252
20,TOUATI Abderahmane,YMDOOCX UYTHCIODU,34,P63,C64,7,4575011.728325864
21,AGOUILAL riadh,NLAWVNOO AYXSQ,53,P45,C46,129,9022482.907960527
22,LAIHEM Said,GTMXZQUN FMCPKBJS,52,P19,C20,193,4468017.634912719
23,BADREDDINE Manel,SZOGZCH CQURBBZ,33,P60,C61,252,6967967.9587652115
24,AIT-AISSA Salim,LZCBASN YEJXKFGO,37,P10,C11,80,7999309.584581531
25,BADREDDINE Manel,WWMGHJ RKBXOBYFQ,30,P26,C27,118,7728458.128318845
26,AGOUILAL riadh,TCLFYXQ DLHNF,56,P3,C4,216,9385211.427219303
27,ALLAM Lamine,MJAUXV BWRGUYKYV,59,P86,C87,153,7084143.81500626
28,ALLAM Lamine,CHRJQARF RWVDDPDKK,30,P70,C71,227,1418714.7675508931
29,BADREDDINE Manel,AGQBLHXDW IZUGQ,48,P60,C61,59,4786303.091183194
30,LAIHEM Said,HASGJGVSJ APVJYU,29,P15,C16,293,4064786.5430829306
31,MOHAMMEDI Asma,KJIIDXP BTROUE,61,P61,C62,36,5092415.98757544
32,ALLAM Lamine,ZNPON EYETDFDN,20,P56,C57,140,2753389.008163522
33,LAIHEM Said,ZSFOO AHRON,40,P41,C42,45,4135929.5742789116
34,TOUATI Abderahmane,DNLLTTFNJ VXJFGD,57,P39,C40,32,9325081.832255341
35,BADREDDINE Manel,MZXPW AMNOCP,35,P27,C28,266,5447042.228181586
36,ALLAM Lamine,ADKUYBN NDWCQTW,41,P62,C63,373,1909781.3910550526
37,LAIHEM Said,HYMMTWC EXRQBPFO,52,P87,C88,89,856347.5946904164
38,TAIR Karim,DFFKVWW EQHKYU,63,P15,C16,293,5475683.890646109
39,LAIHEM Said,VREHRP XECTN,52,P8,C9,145,4379084.687190801
40,TAIR Karim,EZJRLDLFF MVHHRMQ,30,P21,C22,221,8864283.521019941
41,AGOUILAL riadh,QTQDPRO UMYFFPP,54,P36,C37,343,6688039.446018088
42,ALLAM Lamine,ADBDUUMUS TZSKYDI,39,P61,C62,217,6025357.997292724
43,AIT-AISSA Salim,LDYMIQZ WFAGQUHPT,38,P73,C74,20,9015120.671300098
44,BOUDJELOUAH Issam,HDHCYCCZ UBPKIJK,30,P37,C38,173,2358174.4324029037
45,LAIHEM Said,YFSLILOE EXQVG,41,P29,C30,319,7399867.105558613
46,AIT-AISSA Salim,GFLHLVK PSMRZLK,48,P67,C68,54,3446912.3134999843
47,BADREDDINE Manel,VLVDJTXPP ULAGC,57,P55,C56,57,464951.92504359054
48,ALLAM Lamine,KNZGWUIT WLEDVJXM,60,P0,C1,261,2929680.5740297535
49,AIT-AISSA Salim,CCPZNZDK FUBOTNSMA,46,P14,C15,47,8691885.7702822
50,AIT-AISSA Salim,HURTPA PYJTQW,56,P7,C8,215,3075163.8566354048
51,TOUATI Abderahmane,IIQFDRUQ UTTNGLYHL,40,P6,C7,96,2868916.5935920165
52,AGOUILAL riadh,BUXSWPS CGDOPRY,33,P5,C6,319,9229056.34463129
53,BOUDJELOUAH Issam,POSDGZBFA YNWUQKD,49,P67,C68,248,2861546.778563767
54,LAIHEM Said,MQZHOFL CYSOYUJA,47,P44,C45,310,3393143.551459332
55,ALLAM Lamine,FTXNZDSQF OWJIGRTPW,38,P6,C7,32,4851830.754950446
56,TOUATI Abderahmane,JRYIHEPCC UTOXMTAV,53,P21,C22,20,9863315.235335315
57,AGOUILAL riadh,VWRVIF EDRHIG,49,P32,C33,308,9130068.95737723
58,TAIR Karim,PRVUFRMIA PMRZJPI,22,P57,C58,70,4461818.513543423
59,AIT-AISSA Salim,PSNWE GFXUMPCOB,29,P54,C55,20,367229.31039309286
60,LAIHEM Said,YYCHK YOKCPF,37,P60,C61,195,6467680.451378772
61,ALLAM Lamine,UAVUB IQUVXKZK,41,P80,C81,269,8124715.854961806
62,TOUATI Abderahmane,PTYXJQDW LPQCVMF,51,P66,C67,75,2512623.806791177
63,TAIR Karim,SXAMNORL PTQHXYFZ,60,P61,C62,66,3031473.145295039
64,BOUDJELOUAH Issam,UALZFE PODMEF,26,P24,C25,81,3755860.3405219596
65,AIT-AISSA Salim,BWITME ULQQRX,36,P83,C84,123,4593262.498469466
66,TAIR Karim,PIGTR ZODHIR,54,P79,C80,389,7241094.539700786
67,LAIHEM Said,FWVZOPGJ UEZORGG,24,P82,C83,232,8826173.387252819
68,TAIR Karim,ZBHAOLLAK HRZZH,65,P15,C16,63,2211646.596590833
69,BOUDJELOUAH Issam,MICKXCGMJ MYKMUXWUI,58,P54,C55,237,4939209.637646379
70,BADREDDINE Manel,LEHUKDRP QXHGTDILF,23,P66,C67,298,7592912.707082576
71,TAIR Karim,ZSHSLI SVDYV,26,P81,C82,382,1378261.518611679
72,TOUATI Abderahmane,TMJNHXJZR SQXUDWL,44,P44,C45,361,4932342.8864126075
73,ALLAM Lamine,YJQEUIALB FJRHYWY,56,P20,C21,378,9616042.574117275
74,BADREDDINE Manel,XHFEIITI XKVOGFFV,42,P24,C25,75,2453941.98840112
75,MOHAMMEDI Asma,ISPSOHEI KFCGH,63,P53,C54,248,9578851.74817349
76,TAIR Karim,VHQCMH WQJKUH,39,P12,C13,304,2502108.186687629
77,TAIR Karim,LNGLL EBFHD,45,P52,C53,358,7156952.22722362
78,LAIHEM Said,FGCYP JVTYJ,32,P78,C79,318,7496475.478053732
79,AGOUILAL riadh,IFAJXF EVJQUFI,48,P1,C2,337,8497590.26342959
80,TAIR Karim,DXGLQJTE SCTUGNIRA,49,P24,C25,215,8113928.434176687
81,AGOUILAL riadh,OHGIJCAMZ HOUKAA,46,P84,C85,207,8047649.830696832
82,AIT-AISSA Salim,FMFWLHDS JINXKKBWB,44,P3,C4,43,1720451.7265591442
83,BOUDJELOUAH Issam,HXCWIXUK MREBFXO,22,P22,C23,122,2049610.7208016503
84,LAIHEM Said,MOKJMKHRC YTVHHELUC,58,P90,C91,89,794658.978919718
85,BOUDJELOUAH Issam,MADWSP DWRONSS,42,P66,C67,265,1063609.6135449794
86,BOUDJELOUAH Issam,HQSPV RUZFKP,60,P62,C63,357,8569030.93315917
87,BOUDJELOUAH Issam,DLPQGYFT ZXUXLGVWQ,38,P19,C20,103,910611.5134925543
88,MOHAMMEDI Asma,JMUOIT JBTWMJ,57,P3,C4,266,5634262.102464664
89,ALLAM Lamine,QSZFLIHJW WAUDLW,22,P20,C21,55,1581573.9064022505
90,BOUDJELOUAH Issam,QQLZQOPGS PWBGKK,64,P36,C37,396,4607733.784503438
91,BOUDJELOUAH Issam,KBBEXQT SRXTGUCB,33,P48,C49,326,6933560.197350179
92,BADREDDINE Manel,LLKKB IHXKEQ,41,P79,C80,269,9737479.763033519
93,TOUATI Abderahmane,ZQOMM IORLM,41,P56,C57,222,7115720.359775154
94,LAIHEM Said,VGDFR HNXFOYG,26,P51,C52,312,6974767.766322351
95,BADREDDINE Manel,ZLYLO VGFBFTH,53,P66,C67,342,6406888.246987875
96,TAIR Karim,ENLNE FUCMJCX,45,P10,C11,399,5074139.700609056
97,AGOUILAL riadh,SRYLMXPFZ EKMXVD,59,P2,C3,381,352652.11515119905
98,TOUATI Abderahmane,HGBSM KWKTUNI,27,P5,C6,221,3130938.6136442227
99,BOUDJELOUAH Issam,VSCBCNEJ EZZUDI,27,P17,C18,34,5517747.434139703
100,AIT-AISSA Salim,GVSNWFDBU AICKER,46,P62,C63,19,9565013.92154244
101,BOUDJELOUAH Issam,JPFHPUOCG GIDJEXCE,55,P15,C16,77,2715150.7837482113
102,LAIHEM Said,ZRPRJJR FVOCA,49,P21,C22,197,8964861.426048243
103,TOUATI Abderahmane,GIAMV FRYEDXYJ,40,P72,C73,55,3238329.832743239
104,AIT-AISSA Salim,BRFHSR HJDKB,20,P15,C16,396,5697552.126176613
105,ALLAM Lamine,LYQBBJPI WXRCC,61,P64,C65,87,945797.0127832459
106,BADREDDINE Manel,VWRZYVUB IKOQPX,58,P63,C64,122,7522497.58352072
107,AIT-AISSA Salim,YPVNS TSSZCJ,38,P69,C70,82,6230630.173874423
108,LAIHEM Said,KRFPMYI PDRMCKP,37,P3,C4,345,17891.364969097467
109,LAIHEM Said,LNOMDELY FJISF,60,P11,C12,316,5484438.574084255
110,BADREDDINE Manel,XMJZNEH MMBRATMUP,52,P66,C67,216,3091489.701301806
111,TAIR Karim,SDHPC EXNAOJZ,40,P49,C50,269,1083475.542307934
112,LAIHEM Said,LMFUQQEEF IFXEUOT,59,P19,C20,388,7029099.759456711
113,ALLAM Lamine,IGEYTTK ZTKCC,30,P19,C20,311,9651079.452246869
114,TAIR Karim,MNAYQX RYTELSBSX,23,P46,C47,254,7108430.463857384
115,TOUATI Abderahmane,RMBGC PLJPYWXL,33,P86,C87,367,2453162.5351886014
116,LAIHEM Said,ADVSH VGQSBD,41,P56,C57,254,3264807.3828004696
117,AGOUILAL riadh,LIWSKB BHDCIYAP,57,P34,C35,270,8323517.387655675
118,MOHAMMEDI Asma,BQRQUTDKF UPVVANEF,39,P87,C88,124,7106709.587790496
119,BOUDJELOUAH Issam,QQWMTLN RLGMGYS,56,P62,C63,354,876135.9800622909
120,TOUATI Abderahmane,NVKQNQ BQFBNOT,28,P13,C14,57,1296105.9173853535
121,TAIR Karim,VESMZKL LCESGRHHQ,50,P22,C23,288,9528996.444893694
122,TAIR Karim,NBVTCB GJDOZNFJ,61,P16,C17,116,3923350.867987473
123,AGOUILAL riadh,VPVGOYNP TINZUTBA,50,P54,C55,105,4385030.172142502
124,LAIHEM Said,QXQGBT SCRHVGJR,35,P54,C55,322,9754657.58556234
125,BADREDDINE Manel,BLRLES RCNFKH,52,P65,C66,194,7974481.488131427
126,BOUDJELOUAH Issam,FVBQZ NGMSXI,21,P27,C28,28,4393637.372605398
127,TOUATI Abderahmane,OGDEXWEUT TRKYJC,37,P81,C82,144,5923174.292242996
128,MOHAMMEDI Asma,BUTEYRJ NFJZIA,60,P81,C82,262,1647856.2762224707
129,AGOUILAL riadh,SORALGT SSAOQMQ,35,P22,C23,14,7769184.46721607
130,TAIR Karim,ORLQBMQR GZUOIB,30,P21,C22,176,1550152.287342903
131,TAIR Karim,DZKFULO SEZITD,41,P26,C27,51,5690555.885307801
132,BOUDJELOUAH Issam,YEROCZI ELGKDPPSH,54,P18,C19,111,9688103.456699349
133,TAIR Karim,HZEND AMPPCKPHO,65,P8,C9,356,3235750.6583643276
134,MOHAMMEDI Asma,LCOLIATZ PGSLDQ,24,P10,C11,309,1638767.8253908153
135,AGOUILAL riadh,ICXWDU NDYBLAU,55,P55,C56,78,478223.92726229725
136,BADREDDINE Manel,WGXLQREQC ARDTBWZL,52,P77,C78,256,6863674.763179314
137,BADREDDINE Manel,KYCZIDVAJ IBDZMKC,47,P49,C50,114,1889480.7991783542
138,ALLAM Lamine,YGADHWKYH MVKFDAPPX,53,P45,C46,111,1085724.1228099335
139,AIT-AISSA Salim,WBZTUGPY ZRAYQVD,31,P88,C89,135,2738363.182741077
140,AGOUILAL riadh,FGZUFFTF DKMBNTBS,47,P1,C2,307,5475089.956593018
141,MOHAMMEDI Asma,RLZGHEU PCBBRJCYP,36,P54,C55,328,4860485.322659331
142,TAIR Karim,JKKHPT QLTCUR,57,P79,C80,75,670854.6027161401
143,TOUATI Abderahmane,ZGIQF CNEOSTND,44,P51,C52,313,8842883.09320224
144,MOHAMMEDI Asma,PEZLGD SIBABZ,46,P75,C76,184,5628024.268192867
145,TAIR Karim,NUBMJ VUTOWI,37,P78,C79,48,7461018.465666994
146,TOUATI Abderahmane,JZMWYTWJF EGRDYUVNM,32,P68,C69,106,6197388.04710547
147,TAIR Karim,RLXJCJ ABFPVJU,58,P71,C72,165,6526361.331763785
148,AIT-AISSA Salim,YYCKK UDSROJD,50,P61,C62,173,5888600.896441438
149,BADREDDINE Manel,ZGPODOBA OZOHEXV,23,P32,C33,304,1876525.7686009577
150,BOUDJELOUAH Issam,KVABHVGN UFDTM,58,P49,C50,106,2980387.4831566387
151,ALLAM Lamine,BTQXXBFXM WJBOU,32,P2,C3,369,5262622.600689505
152,BADREDDINE Manel,RJPIZNNIG QUVYHTA,34,P15,C16,158,1893430.0507554698
153,ALLAM Lamine,AKIUIK NKBLOJN,49,P58,C59,2,2433128.2270320863
154,BOUDJELOUAH Issam,LEDSWV MSTPC,23,P55,C56,124,899190.1645087635
155,MOHAMMEDI Asma,SDSQFOQN AJRWPM,56,P74,C75,10,2205714.0693330667
156,TOUATI Abderahmane,LHOQDL ERZZO,45,P35,C36,87,9915295.47765795
157,TOUATI Abderahmane,PRBMPQ UZGDHTLDT,31,P6,C7,83,7314590.769793984
158,AGOUILAL riadh,PHSUR JACZN,38,P39,C40,85,7592556.455752339
159,BOUDJELOUAH Issam,RAIGV UKINEBJWG,39,P45,C46,203,4359169.686570408
160,TAIR Karim,EFIOUETB CNJLIRVQ,44,P78,C79,170,5253087.160378021
161,AGOUILAL riadh,CMLJC XIDTXYKW,48,P72,C73,124,1661527.02906805
162,MOHAMMEDI Asma,PPNTB FYHKSMJG,52,P77,C78,134,453608.41975287034
163,MOHAMMEDI Asma,DSMGGBFZK DTREUN,27,P86,C87,374,8632377.158186818
164,BOUDJELOUAH Issam,BSUHA TLPNWKFY,56,P15,C16,180,7299726.285445341
165,TOUATI Abderahmane,HQCYVN YXBMOHZ,63,P55,C56,360,4400055.263979379
166,MOHAMMEDI Asma,YPVFUDH WYTKXPKV,60,P76,C77,138,7904983.178522931
167,BADREDDINE Manel,KBZOEZTX ZXRVPNOGQ,46,P6,C7,67,4107610.039136785
168,AGOUILAL riadh,IEZNJNUQ QKHOBQ,24,P48,C49,370,9356984.159225034
169,TOUATI Abderahmane,QTWOD HZITAYNU,55,P52,C53,124,9072424.670143675
170,ALLAM Lamine,DDLFMFXIL SJHKBAZH,40,P88,C89,9,8936057.098114196
171,TAIR Karim,UPVSIO NLTTDYSIF,50,P83,C84,358,7964929.570151346
172,MOHAMMEDI Asma,ZXXNYKVNR YATSRARZ,29,P35,C36,339,8943689.898458244
173,ALLAM Lamine,BMZRWYV RCJZX,50,P11,C12,101,7776723.073123892
174,LAIHEM Said,RUXVA QKGRFJJ,29,P35,C36,312,3241668.5711070057
175,BADREDDINE Manel,EOHNZFHQP UNQDBUZRG,62,P21,C22,394,7561876.483643286
176,AGOUILAL riadh,AIJNG DJCKKCJF,56,P90,C91,268,2629129.4865803937
177,BOUDJELOUAH Issam,EFTJNH MVPLVIMY,43,P68,C69,375,41555.389235478215
178,BOUDJELOUAH Issam,SHHBQLI VGYKPDA,53,P68,C69,45,2862073.31232746
179,AGOUILAL riadh,ULPIM KIWPGVDD,41,P2,C3,379,8399863.148238827
180,BOUDJELOUAH Issam,WSRXOLM AMBTB,47,P43,C44,360,526677.5132607534
181,MOHAMMEDI Asma,OLJUM GBRARY,28,P39,C40,386,2641470.8169667716
182,AIT-AISSA Salim,HRNUL YYWRQA,50,P25,C26,385,8572635.306819877
183,AIT-AISSA Salim,HVSYJSIAE XZNRTHB,31,P78,C79,79,7921166.038775416
184,AIT-AISSA Salim,QEHVZV CWDXET,41,P12,C13,16,8133520.35511823
185,AIT-AISSA Salim,PBVLGW HJOJSVTJ,53,P18,C19,218,4584470.197215006
186,BOUDJELOUAH Issam,TAIJRU EMYERQD,50,P2,C3,188,1917952.1515579983
187,MOHAMMEDI Asma,IQRQJYB PMIWNNRO,28,P57,C58,361,2945052.8313547415
188,TOUATI Abderahmane,WIJQVA MADRZPH,57,P28,C29,293,4064168.6084733848
189,BOUDJELOUAH Issam,QNSOZOPB EITCQJ,31,P81,C82,141,2152348.98187834
190,TAIR Karim,WSCZM NRCEE,43,P10,C11,307,7393795.467503535
191,BADREDDINE Manel,KVTOGFJ EBIHRM,39,P18,C19,130,5873381.1973154
192,ALLAM Lamine,GEJLP NFDCZ,55,P8,C9,352,159533.62450671277
193,MOHAMMEDI Asma,MNHFQMOEM NDACAXXW,63,P35,C36,343,959331.1453145165
194,BOUDJELOUAH Issam,TRABLM RRKIWGJ,38,P43,C44,175,6322682.575193259
195,AGOUILAL riadh,ZWARKO DWZADWKR,56,P31,C32,281,7996432.087531027
196,ALLAM Lamine,FKYCS XINENM,57,P61,C62,135,3731149.2685538987
197,TOUATI Abderahmane,TAOJN NLFLPI,57,P39,C40,26,7088105.422718108
198,BADREDDINE Manel,IYQMCULUD LWIFY,24,P67,C68,155,6672177.32171119
199,TOUATI Abderahmane,GDPJIPIFW QKSDGCIB,37,P58,C59,337,3109611.70265386
200,BOUDJELOUAH Issam,ZNPMLIJPX HOYJSAFW,32,P64,C65,22,5873308.190014448
201,TAIR Karim,EKCPQYY ZPFEUV,42,P75,C76,285,7621920.773848168
202,TAIR Karim,GEXCYIQ TGCIJP,39,P2,C3,363,1450893.2216441266
203,ALLAM Lamine,WBYOJS BQFNQJQR,37,P63,C64,195,6405956.465364628
204,LAIHEM Said,OFIIQ UQUTF,49,P57,C58,34,7039535.832043455
205,BOUDJELOUAH Issam,NRFQTQC WJLIT,38,P46,C47,299,5711827.003860956
206,BOUDJELOUAH Issam,HHAJLDKVJ SWCPR,36,P68,C69,248,6530134.075530802
207,MOHAMMEDI Asma,GZAQZHIQ NBLFYABA,52,P87,C88,174,2762986.518058766
208,AGOUILAL riadh,GWDSO ODGUEJ,58,P69,C70,302,7535046.9069690155
209,ALLAM Lamine,QSFLNVXT VGFID,20,P12,C13,84,561585.0988954924
210,AIT-AISSA Salim,DHBQGOBV GUALHM,27,P61,C62,282,4982138.408155133
211,ALLAM Lamine,HBJLDMVB TYPXPOAMK,22,P87,C88,217,1016162.3227501584
